branch,seatpool,oprank,closerank,category
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1793,2674,OBC-NCL
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,5214,5690,OBC-NCL(PwD)
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,473,561,GEN-EWS
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,1081,1081,OPEN
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2411,4390,OPEN
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2512,6971,OPEN (PwD)
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,100P,100P,SC
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1381,1720,SC
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2359,2587,ST
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,663,741,ST
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Female-Only,529P,529P,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,631,1239,OBC-NCL
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2424,2587,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,215,242,GEN-EWS
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,901,901,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1243,1886,OPEN
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,2377,3932,OPEN (PwD)
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,134,134,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,303,753,SC
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,602,1065,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,102,333,ST
"Chemical Engineering (4 Years, Bachelor of Technology)",Female-Only,219,219,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,497,1258,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1243,3108,OBC-NCL(PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,19,19,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,280.1,331,GEN-EWS
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,1176,1176,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,10P,10P,OPEN
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1121,3332,OPEN (PwD)
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,5115,5831,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,43,60,SC
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,16P,16P,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,50,665,ST
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,858,964,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,20,74,OBC-NCL
"Civil Engineering (4 Years, Bachelor of Technology)",Female-Only,215,330,OBC-NCL(PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,17,65,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,128,197,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3,3,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,7,12,OPEN
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,62,62,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2,93,OPEN (PwD)
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,233,465,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2,3,SC
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,22,39,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,109,115,ST
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2P,2P,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3,19,OBC-NCL
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Female-Only,107,107,GEN-EWS
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1,1,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,107,295,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,597,1156,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,12,12,OPEN (PwD)
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,39,46,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,120,120,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4,4,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,297,469,ST
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,795,1676,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,16,24,OBC-NCL
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,83,152,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,215,285,GEN-EWS
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5P,5P,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,9,54,OPEN
"Electrical Engineering (4 Years, Bachelor of Technology)",Female-Only,32,32,SC
"Electrical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4P,4P,SC
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,325,525,ST
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Female-Only,1219,1288,ST
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,2P,2P,OBC-NCL
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,87,96,OBC-NCL
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,566,802,GEN-EWS
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Female-Only,1957,2287,GEN-EWS
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,26,26,OPEN
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,118,348,OPEN
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Female-Only,454,565,SC
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Gender-Neutral,104,174,SC
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Female-Only,460,460,ST
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,1081,1631,ST
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,1840,3710,OBC-NCL
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,204,286,OBC-NCL
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,706,706,OBC-NCL(PwD)
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,1018,2569,GEN-EWS
"Engineering Physics (4 Years, Bachelor of Technology)",Female-Only,4276,5946,OPEN
"Engineering Physics (4 Years, Bachelor of Technology)",Gender-Neutral,76P,76P,OPEN
